[85, 80, 16, 59, 5, 81, 23, 98, 97, 46, 77, 29, 41, 96, 74, 22, 18, 2, 25, 49]
[94, 47, 75, 59, 64, 15, 44, 32, 24, 60, 83, 42, 45, 30, 51, 65, 88, 40, 5, 74]
[26, 10, 7, 1, 3, 78, 43, 16, 13, 60, 65, 58, 68, 14, 70, 37, 77, 40, 59, 15]
[40, 54, 20, 31, 60, 100, 21, 26, 75, 63, 59, 77, 27, 46, 62, 47, 22, 43, 98, 81]
[100, 38, 43, 93, 45, 33, 79, 26, 34, 65, 19, 46, 32, 92, 50, 73, 30, 4, 77, 12]
[77, 22, 85, 86, 10, 4, 69, 75, 40, 12, 64, 74, 38, 32, 44, 26, 11, 48, 92, 30]
[36, 97, 45, 15, 92, 20, 30, 57, 62, 71, 73, 79, 10, 29, 21, 75, 77, 32, 95, 94]
[4, 96, 57, 41, 15, 68, 31, 94, 53, 20, 61, 75, 34, 77, 14, 67, 52, 28, 42, 36]
[68, 94, 82, 84, 31, 88, 34, 74, 62, 20, 5, 36, 13, 83, 38, 85, 78, 73, 51, 52]
[22, 16, 19, 49, 39, 17, 28, 53, 93, 66, 23, 72, 96, 12, 7, 48, 84, 65, 18, 29]
[89, 37, 46, 1, 90, 68, 6, 48, 17, 13, 61, 2, 95, 36, 97, 93, 27, 39, 56, 67]
[4, 78, 70, 75, 10, 48, 33, 71, 47, 55, 79, 77, 20, 23, 25, 27, 94, 73, 37, 91]
[69, 39, 66, 2, 31, 51, 46, 45, 38, 52, 28, 24, 76, 98, 16, 62, 33, 81, 7, 95]
[21, 74, 95, 23, 62, 84, 36, 96, 50, 14, 26, 27, 73, 13, 12, 77, 79, 3, 60, 8]
[43, 7, 59, 24, 76, 45, 32, 81, 15, 37, 63, 65, 96, 30, 75, 86, 19, 93, 1, 91]
[14, 75, 97, 33, 8, 99, 72, 98, 19, 76, 26, 59, 1, 11, 82, 66, 63, 67, 16, 24]
[72, 100, 91, 19, 34, 56, 98, 17, 7, 68, 16, 65, 13, 2, 88, 45, 84, 82, 69, 31]
[21, 92, 81, 58, 17, 94, 15, 1, 67, 56, 31, 66, 47, 90, 79, 55, 22, 77, 50, 93]
[90, 27, 59, 89, 5, 79, 29, 20, 8, 58, 17, 24, 70, 34, 38, 92, 86, 64, 91, 60]
[63, 44, 38, 59, 14, 37, 82, 41, 48, 35, 95, 1, 87, 89, 20, 39, 50, 51, 64, 25]
[27, 28, 69, 96, 86, 78, 67, 68, 40, 92, 47, 48, 34, 20, 54, 19, 72, 3, 32, 77]
[15, 49, 82, 7, 81, 9, 94, 12, 80, 18, 87, 86, 99, 41, 65, 97, 67, 11, 42, 13]
[69, 50, 17, 6, 12, 46, 35, 16, 40, 10, 80, 74, 48, 20, 21, 81, 36, 93, 65, 58]
[38, 49, 59, 98, 78, 50, 82, 68, 83, 44, 9, 32, 77, 25, 86, 91, 42, 6, 10, 36]
[22, 91, 6, 62, 19, 12, 100, 95, 80, 41, 23, 56, 8, 84, 76, 3, 96, 94, 69, 77]
[93, 78, 1, 22, 88, 64, 68, 60, 18, 89, 48, 7, 17, 41, 5, 98, 81, 63, 90, 28]
[48, 95, 52, 71, 62, 10, 68, 75, 83, 29, 16, 26, 84, 92, 3, 58, 100, 96, 93, 25]
[41, 50, 48, 7, 63, 74, 14, 28, 55, 73, 32, 82, 97, 61, 76, 15, 18, 12, 40, 2]
[28, 7, 70, 44, 17, 94, 95, 37, 18, 40, 25, 85, 31, 5, 87, 47, 34, 63, 32, 42]
[29, 38, 55, 13, 92, 12, 51, 6, 50, 88, 40, 33, 98, 74, 84, 5, 65, 82, 14, 58]
